# Підозрілі зображення з аномальними розмірами
# формат: шлях_до_зображення	слово [ш=ширина, в=висота, с=співвідношення]

dataset/iam_words/data/m02/m02-083/m02-083-11-06.png	Panama [ш=1800, в=56, с=32.14]
dataset/iam_words/data/m02/m02-083/m02-083-11-05.png	the [ш=1800, в=56, с=32.14]
dataset/iam_words/data/m02/m02-083/m02-083-11-04.png	in [ш=1800, в=56, с=32.14]
dataset/iam_words/data/m02/m02-083/m02-083-11-03.png	contingent [ш=1800, в=56, с=32.14]
dataset/iam_words/data/m02/m02-083/m02-083-11-02.png	O.G.O. [ш=1800, в=56, с=32.14]
dataset/iam_words/data/m02/m02-083/m02-083-11-01.png	the [ш=1800, в=57, с=31.58]
dataset/iam_words/data/m04/m04-081/m04-081-10-01.png	, [ш=1207, в=50, с=24.14]
dataset/iam_words/data/d06/d06-063/d06-063-10-07.png	England [ш=1676, в=75, с=22.35]
dataset/iam_words/data/d06/d06-063/d06-063-10-06.png	of [ш=1651, в=75, с=22.01]
dataset/iam_words/data/d06/d06-063/d06-063-10-05.png	end [ш=1651, в=75, с=22.01]
dataset/iam_words/data/d06/d06-063/d06-063-10-04.png	other [ш=1651, в=75, с=22.01]
dataset/iam_words/data/d06/d06-063/d06-063-10-03.png	the [ш=1651, в=75, с=22.01]
dataset/iam_words/data/d06/d06-063/d06-063-10-01.png	happening [ш=1651, в=75, с=22.01]
dataset/iam_words/data/n03/n03-106/n03-106-11-01.png	, [ш=1803, в=84, с=21.46]
dataset/iam_words/data/n03/n03-106/n03-106-11-03.png	the [ш=1803, в=84, с=21.46]
dataset/iam_words/data/n03/n03-106/n03-106-11-02.png	leading [ш=1803, в=84, с=21.46]
dataset/iam_words/data/c01/c01-014/c01-014-10-01.png	the [ш=1882, в=98, с=19.20]
dataset/iam_words/data/c01/c01-014/c01-014-10-02.png	libretto [ш=1882, в=98, с=19.20]
dataset/iam_words/data/c01/c01-014/c01-014-10-03.png	, [ш=1882, в=98, с=19.20]
dataset/iam_words/data/c01/c01-014/c01-014-10-04.png	which [ш=1882, в=98, с=19.20]
dataset/iam_words/data/c01/c01-014/c01-014-10-05.png	contains [ш=1882, в=98, с=19.20]
dataset/iam_words/data/c01/c01-014/c01-014-10-06.png	an [ш=1882, в=98, с=19.20]
dataset/iam_words/data/n03/n03-106/n03-106-11-04.png	yawl [ш=1803, в=95, с=18.98]
dataset/iam_words/data/l04/l04-082/l04-082-00-02.png	L04-082 [ш=1374, в=77, с=17.84]
dataset/iam_words/data/m01/m01-136/m01-136-10-03.png	the [ш=1739, в=100, с=17.39]
dataset/iam_words/data/m01/m01-136/m01-136-10-01.png	points [ш=1739, в=100, с=17.39]
dataset/iam_words/data/m01/m01-136/m01-136-10-02.png	of [ш=1739, в=100, с=17.39]
dataset/iam_words/data/b05/b05-042/b05-042-10-06.png	just [ш=1285, в=74, с=17.36]
dataset/iam_words/data/b05/b05-042/b05-042-10-08.png	in [ш=1285, в=74, с=17.36]
dataset/iam_words/data/b05/b05-042/b05-042-10-04.png	if [ш=1285, в=74, с=17.36]
dataset/iam_words/data/b05/b05-042/b05-042-10-05.png	he [ш=1285, в=74, с=17.36]
